dH1H2,dH1H3,Eh
0.60000000,0.60000000,-1.45228761
0.60000000,0.80000000,-1.52329143
0.60000000,1.00000000,-1.55654228
0.60000000,1.20000000,-1.57640164
0.60000000,1.40000000,-1.58909184
0.60000000,1.60000000,-1.59710254
0.60000000,1.80000000,-1.60197330
0.60000000,2.00000000,-1.60481880
0.60000000,2.20000000,-1.60642651
0.60000000,2.40000000,-1.60731280
0.60000000,2.60000000,-1.60779288
0.80000000,0.60000000,-1.52329145
0.80000000,0.80000000,-1.57212182
0.80000000,1.00000000,-1.58861063
0.80000000,1.20000000,-1.59891274
0.80000000,1.40000000,-1.60687207
0.80000000,1.60000000,-1.61265501
0.80000000,1.80000000,-1.61649096
0.80000000,2.00000000,-1.61886137
0.80000000,2.20000000,-1.62025601
0.80000000,2.40000000,-1.62105048
0.80000000,2.60000000,-1.62149347
1.00000000,0.60000000,-1.55654229
1.00000000,0.80000000,-1.58861063
1.00000000,1.00000000,-1.58729974
1.00000000,1.20000000,-1.58442560
1.00000000,1.40000000,-1.58477841
1.00000000,1.60000000,-1.58676822
1.00000000,1.80000000,-1.58887807
1.00000000,2.00000000,-1.59050045
1.00000000,2.20000000,-1.59157761
1.00000000,2.40000000,-1.59223906
1.00000000,2.60000000,-1.59262733
1.20000000,0.60000000,-1.57640166
1.20000000,0.80000000,-1.59891274
1.20000000,1.00000000,-1.58442560
1.20000000,1.20000000,-1.56871754
1.20000000,1.40000000,-1.55976333
1.20000000,1.60000000,-1.55574562
1.20000000,1.80000000,-1.55421712
1.20000000,2.00000000,-1.55376584
1.20000000,2.20000000,-1.55372411
1.20000000,2.40000000,-1.55380632
1.20000000,2.60000000,-1.55390224
1.40000000,0.60000000,-1.58909185
1.40000000,0.80000000,-1.60687207
1.40000000,1.00000000,-1.58477841
1.40000000,1.20000000,-1.55976333
1.40000000,1.40000000,-1.54365392
1.40000000,1.60000000,-1.53495870
1.40000000,1.80000000,-1.53044358
1.40000000,2.00000000,-1.52810913
1.40000000,2.20000000,-1.52690259
1.40000000,2.40000000,-1.52628066
1.40000000,2.60000000,-1.52596032
1.60000000,0.60000000,-1.59710255
1.60000000,0.80000000,-1.61265501
1.60000000,1.00000000,-1.58676822
1.60000000,1.20000000,-1.55574562
1.60000000,1.40000000,-1.53495870
1.60000000,1.60000000,-1.52357982
1.60000000,1.80000000,-1.51756216
1.60000000,2.00000000,-1.51439221
1.60000000,2.20000000,-1.51272591
1.60000000,2.40000000,-1.51185362
1.60000000,2.60000000,-1.51139802
1.80000000,0.60000000,-1.60197332
1.80000000,0.80000000,-1.61649096
1.80000000,1.00000000,-1.58887807
1.80000000,1.20000000,-1.55421712
1.80000000,1.40000000,-1.53044358
1.80000000,1.60000000,-1.51756216
1.80000000,1.80000000,-1.51077256
1.80000000,2.00000000,-1.50719729
1.80000000,2.20000000,-1.50531657
1.80000000,2.40000000,-1.50433072
1.80000000,2.60000000,-1.50381499
2.00000000,0.60000000,-1.60481880
2.00000000,0.80000000,-1.61886137
2.00000000,1.00000000,-1.59050045
2.00000000,1.20000000,-1.55376584
2.00000000,1.40000000,-1.52810913
2.00000000,1.60000000,-1.51439221
2.00000000,1.80000000,-1.50719729
2.00000000,2.00000000,-1.50341618
2.00000000,2.20000000,-1.50142902
2.00000000,2.40000000,-1.50038776
2.00000000,2.60000000,-1.49984308
2.20000000,0.60000000,-1.60642652
2.20000000,0.80000000,-1.62025602
2.20000000,1.00000000,-1.59157761
2.20000000,1.20000000,-1.55372411
2.20000000,1.40000000,-1.52690259
2.20000000,1.60000000,-1.51272591
2.20000000,1.80000000,-1.50531657
2.20000000,2.00000000,-1.50142902
2.20000000,2.20000000,-1.49938773
2.20000000,2.40000000,-1.49831866
2.20000000,2.60000000,-1.49775960
2.40000000,0.60000000,-1.60731281
2.40000000,0.80000000,-1.62105048
2.40000000,1.00000000,-1.59223906
2.40000000,1.20000000,-1.55380632
2.40000000,1.40000000,-1.52628066
2.40000000,1.60000000,-1.51185362
2.40000000,1.80000000,-1.50433072
2.40000000,2.00000000,-1.50038776
2.40000000,2.20000000,-1.49831866
2.40000000,2.40000000,-1.49723546
2.40000000,2.60000000,-1.49666916
2.60000000,0.60000000,-1.60779288
2.60000000,0.80000000,-1.62149347
2.60000000,1.00000000,-1.59262734
2.60000000,1.20000000,-1.55390224
2.60000000,1.40000000,-1.52596032
2.60000000,1.60000000,-1.51139802
2.60000000,1.80000000,-1.50381499
2.60000000,2.00000000,-1.49984308
2.60000000,2.20000000,-1.49775960
2.60000000,2.40000000,-1.49666916
2.60000000,2.60000000,-1.49609918