df180,dH1H2~dH1H3,value.var="Eh"
0.6,0.6,-1.46704485
0.6,0.8,-1.53531874
0.6,1.0,-1.56501595
0.6,1.2,-1.58191372
0.6,1.4,-1.59251837
0.6,1.6,-1.59916529
0.6,1.8,-1.60318391
0.6,2.0,-1.60551550
0.6,2.2,-1.60682255
0.6,2.4,-1.60753770
0.6,2.6,-1.60792269
0.8,0.6,-1.53531876
0.8,0.8,-1.58326241
0.8,1.0,-1.59711239
0.8,1.2,-1.60466132
0.8,1.4,-1.61052325
0.8,1.6,-1.61489167
0.8,1.8,-1.61782716
0.8,2.0,-1.61964429
0.8,2.2,-1.62070834
0.8,2.4,-1.62131018
0.8,2.6,-1.62164331
1.0,0.6,-1.56501595
1.0,0.8,-1.59711239
1.0,1.0,-1.59439552
1.0,1.2,-1.58954847
1.0,1.4,-1.58820067
1.0,1.6,-1.58895258
1.0,1.8,-1.59022552
1.0,2.0,-1.59130924
1.0,2.2,-1.59205277
1.0,2.4,-1.59251397
1.0,2.6,-1.59278503
1.2,0.6,-1.58191373
1.2,0.8,-1.60466132
1.2,1.0,-1.58954847
1.2,1.2,-1.57258492
1.2,1.4,-1.56242518
1.2,1.6,-1.55750455
1.2,1.8,-1.55534698
1.2,2.0,-1.55447159
1.2,2.2,-1.55415247
1.2,2.4,-1.55405923
1.2,2.6,-1.55404786
1.4,0.6,-1.59251838
1.4,0.8,-1.61052325
1.4,1.0,-1.58820067
1.4,1.2,-1.56242518
1.4,1.4,-1.54545834
1.4,1.6,-1.53611615
1.4,1.8,-1.53116058
1.4,2.0,-1.52854011
1.4,2.2,-1.52715500
1.4,2.4,-1.52642550
1.4,2.6,-1.52604224
1.6,0.6,-1.59916530
1.6,0.8,-1.61489167
1.6,1.0,-1.58895258
1.6,1.2,-1.55750455
1.6,1.4,-1.53611615
1.6,1.6,-1.52429596
1.6,1.8,-1.51799185
1.6,2.0,-1.51464392
1.6,2.2,-1.51287061
1.6,2.4,-1.51193577
1.6,2.6,-1.51144435
1.8,0.6,-1.60318391
1.8,0.8,-1.61782716
1.8,1.0,-1.59022552
1.8,1.2,-1.55534698
1.8,1.4,-1.53116058
1.8,1.6,-1.51799185
1.8,1.8,-1.51102430
1.8,2.0,-1.50734222
1.8,2.2,-1.50539895
1.8,2.4,-1.50437725
1.8,2.6,-1.50384125
2.0,0.6,-1.60551550
2.0,0.8,-1.61964429
2.0,1.0,-1.59130924
2.0,1.2,-1.55447159
2.0,1.4,-1.52854011
2.0,1.6,-1.51464392
2.0,1.8,-1.50734222
2.0,2.0,-1.50349866
2.0,2.2,-1.50147561
2.0,2.4,-1.50041402
2.0,2.6,-1.49985790
2.2,0.6,-1.60682256
2.2,0.8,-1.62070834
2.2,1.0,-1.59205277
2.2,1.2,-1.55415247
2.2,1.4,-1.52715500
2.2,1.6,-1.51287061
2.2,1.8,-1.50539895
2.2,2.0,-1.50147561
2.2,2.2,-1.49941397
2.2,2.4,-1.49833343
2.2,2.6,-1.49776792
2.4,0.6,-1.60753771
2.4,0.8,-1.62131019
2.4,1.0,-1.59251397
2.4,1.2,-1.55405923
2.4,1.4,-1.52642550
2.4,1.6,-1.51193577
2.4,1.8,-1.50437725
2.4,2.0,-1.50041402
2.4,2.2,-1.49833343
2.4,2.4,-1.49724374
2.4,2.6,-1.49667379
2.6,0.6,-1.60792270
2.6,0.8,-1.62164331
2.6,1.0,-1.59278503
2.6,1.2,-1.55404786
2.6,1.4,-1.52604224
2.6,1.6,-1.51144435
2.6,1.8,-1.50384125
2.6,2.0,-1.49985790
2.6,2.2,-1.49776792
2.6,2.4,-1.49667379
2.6,2.6,-1.49610173